都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,18,945,2112,3075,100,NA,2011-09-22
JP-02,青森県,0,0,739,473,1212,31,NA,2011-09-22
JP-03,岩手県,4,8,886,909,1807,25,※1,2011-09-22
JP-04,宮城県,1836,286,NA,NA,2122,11,NA,2011-09-22
JP-05,秋田県,4,221,797,673,1695,22,NA,2011-09-22
JP-06,山形県,49,302,794,11026,12171,34,NA,2011-09-22
JP-07,福島県,133,2501,NA,NA,2634,23,NA,2011-09-22
JP-08,茨城県,20,74,686,2092,2872,39,NA,2011-09-22
JP-09,栃木県,0,101,993,1651,2745,25,NA,2011-09-22
JP-10,群馬県,0,123,358,1608,2089,32,NA,2011-09-22
JP-11,埼玉県,781,9,0,4334,5124,58,NA,2011-09-22
JP-12,千葉県,NA,NA,3697,NA,3697,48,NA,2011-09-22
JP-13,東京都,8,356,2201,5214,7779,51,NA,2011-09-22
JP-14,神奈川県,0,0,8,1466,1474,2,※2,2011-09-22
JP-15,新潟県,0,74,723,5826,6623,30,※2,2011-09-22
JP-16,富山県,0,0,114,361,475,12,NA,2011-09-22
JP-17,石川県,0,1,132,405,538,13,NA,2011-09-22
JP-18,福井県,0,18,106,376,500,16,NA,2011-09-22
JP-19,山梨県,0,19,325,544,888,22,NA,2011-09-22
JP-20,長野県,5,5,236,923,1169,49,NA,2011-09-22
JP-21,岐阜県,0,0,181,215,396,28,NA,2011-09-22
JP-22,静岡県,0,179,381,857,1417,33,NA,2011-09-22
JP-23,愛知県,0,0,262,998,1260,45,NA,2011-09-22
JP-24,三重県,0,0,41,154,195,12,NA,2011-09-22
JP-25,滋賀県,0,0,282,142,424,16,NA,2011-09-22
JP-26,京都府,0,NA,244,764,1008,19,NA,2011-09-22
JP-27,大阪府,0,0,294,1092,1386,33,NA,2011-09-22
JP-28,兵庫県,0,0,427,618,1045,28,NA,2011-09-22
JP-29,奈良県,0,0,69,88,157,17,NA,2011-09-22
JP-30,和歌山県,0,0,52,70,122,13,NA,2011-09-22
JP-31,鳥取県,0,0,43,125,168,14,NA,2011-09-22
JP-32,島根県,0,0,20,132,152,11,NA,2011-09-22
JP-33,岡山県,0,0,167,335,502,18,NA,2011-09-22
JP-34,広島県,0,0,150,315,465,15,NA,2011-09-22
JP-35,山口県,0,0,108,92,200,13,NA,2011-09-22
JP-36,徳島県,0,0,72,87,159,14,NA,2011-09-22
JP-37,香川県,0,0,25,62,87,8,NA,2011-09-22
JP-38,愛媛県,0,0,151,96,247,12,NA,2011-09-22
JP-39,高知県,0,0,81,54,135,17,NA,2011-09-22
JP-40,福岡県,0,4,224,471,699,37,NA,2011-09-22
JP-41,佐賀県,0,0,79,234,313,12,NA,2011-09-22
JP-42,長崎県,0,0,66,106,172,14,NA,2011-09-22
JP-43,熊本県,0,0,95,148,243,26,NA,2011-09-22
JP-44,大分県,0,0,122,261,383,16,NA,2011-09-22
JP-45,宮崎県,0,0,104,131,235,12,NA,2011-09-22
JP-46,鹿児島県,0,0,123,152,275,24,NA,2011-09-22
JP-47,沖縄県,0,38,80,597,715,21,NA,2011-09-22
